,HPO_term_ID,HPO_term_name,gene_num,study_count,n_study,population_count,n_population,gene_ratio,background_ratio,odd_ratio,pvalue,padj,related_genes
564,HP:0000741,Apathy,140,45,10814,140,234119,0.004161272,0.000597986,6.958806706,1.01E-25,2.41E-23,ACAT1 SMC1A SYNJ1 SQSTM1 SQSTM1 SQSTM1 FOXH1 FOXH1 FOXH1 FOXH1 CACNA1A ATXN10 CP CHMP2B CHMP2B GIGYF2 DNAJC6 DCTN1 DCTN1 CDON CDON CDON CDON DNMT1 EIF4G1 FGF8 FGF8 FGF8 FGF8 FGFR1 FGFR1 FUS STAG2 STAG2 GAS1 GAS1 GAS1 GAS1 GBA GBA COQ2 COQ2 GLI2 GLI2 GLI2 GLI2 GM2A HTRA2 GRN GRN DISP1 DISP1 DISP1 DISP1 HTT HEXA HFE TREX1 HLA-DQB1 PARK7 HMGCL HMGCL TMEM240 DLL1 DLL1 DLL1 DLL1 MAPT MAPT MAPT MAPT MAPT MAPT TBK1 TBK1 NODAL NODAL NODAL NODAL NOTCH3 TREM2 PRKN PDGFB PODXL TMEM106B PRKAR1B PRNP PRNP PSEN1 PSEN1 PSEN1 VPS13C PTCH1 PTCH1 PTCH1 PTCH1 EHMT1 EHMT1 LRRK2 LRRK2 SHH SHH SHH SHH SIX3 SIX3 SIX3 SIX3 SLC2A3 VPS35 SMARCB1 SNCA SNCA C9ORF72 C9ORF72 C9ORF72 SPAST VPS13A DNAJC13 TDGF1 TDGF1 TDGF1 TDGF1 ATP13A2 TGIF1 TGIF1 TGIF1 TGIF1 TARDBP TARDBP UCHL1 VCP VCP ZIC2 ZIC2 ZIC2 ZIC2 PINK1 CHCHD10 JPH3
98,HP:0000738,Hallucinations,144,45,10814,144,234119,0.004161272,0.000615072,6.765506519,3.85E-25,8.34E-23,ADH1C APP ARSA ARSA ARSA ARSA BCKDHA BCKDHB BCS1L BMPR1A SYNJ1 SQSTM1 CHI3L1 CLN5 WHRN COMT CPOX SNCAIP CTSH CYP27A1 CYP27A1 DBT DNAJC6 DNAJC6 USH1G MED12 ESPN DRD3 DNM1L USH1C ECM1 ZDHHC9 SLC25A13 ADGRV1 ABCA7 BPTF CEP78 TOMM40 CIB2 CISD2 MLH3 FUS DISC2 GBA GLUD2 HTRA2 GRN MSH6 HARS1 HCRT HCRT HTT HLA-DQB1 HLA-DQB1 HLA-DQB1 HLA-DRB1 HLA-DRB1 PARK7 HMBS HTR2A KRAS EPCAM MAN2B1 MAN2B1 MAPT SLC6A19 MLH1 MOG MSH2 MTHFR TBK1 TRNS2 MYO7A MYO7A NDP NDP DAOA NR4A2 OPA1 P2RY11 TREM2 PRKN PIK3CA PMS1 PMS2 PODXL PPOX PPT1 PRNP PRNP PSAP PSAP PSAP PSEN1 PSEN2 VPS13C PSMD12 TTC19 LRRK2 RPS20 PDZD7 ATXN2 ATXN8OS DCAF17 DCAF17 ZNF365 ZNF365 SLC2A3 ARSG FAN1 SNCA SNCA SNCA C9ORF72 C9ORF72 SORL1 SPART CDH23 SYN2 SEMA4A TBP TBP ATP13A2 ATP13A2 ATP13A2 TGFBR2 TARDBP APOL4 TNFSF4 UCHL1 APOL2 USH2A CLRN1 VCP WFS1 WFS1 PINK1 CHCHD10 RTN4R UPF3B PRDM8 PCDH15 ALDH5A1 JPH3
170,HP:0002145,Frontotemporal dementia,50,28,10814,50,234119,0.002589236,0.000213567,12.12378768,1.28E-24,2.54E-22,PLA2G6 PLA2G6 SQSTM1 SQSTM1 SQSTM1 CCNF CHMP2B CHMP2B CHMP2B CYLD DCTN1 FUS GRN GRN GRN HNRNPA1 HNRNPA2B1 HNRNPA2B1 MAPT MAPT MAPT MAPT TBK1 TBK1 TREM2 TREM2 UBQLN2 TMEM106B TMEM106B PRKAR1B PSEN1 PSEN1 PSEN1 PSEN1 C9ORF72 C9ORF72 C9ORF72 C9ORF72 TARDBP TARDBP TIA1 ZFYVE26 TUBA4A VCP VCP VCP VCP VCP CHCHD10 CHCHD10
362,HP:0000734,Disinhibition,43,25,10814,43,234119,0.002311818,0.000183667,12.58698887,1.08E-22,1.97E-20,APP SQSTM1 SQSTM1 SQSTM1 CHMP2B CHMP2B ABCA7 ABCA7 TOMM40 FMR1 FTL FUS GRN GRN HTT MAPT MAPT MAPT TBK1 TBK1 TREM2 TREM2 TREM2 TREM2 TMEM106B PSEN1 PSEN1 PSEN1 PSEN1 PSEN2 SLC2A3 C9ORF72 C9ORF72 SORL1 SPAST VPS13A TARDBP TARDBP TYROBP TYROBP VCP VCP CHCHD10
115,HP:0000751,Personality changes,78,32,10814,78,234119,0.002959127,0.000333164,8.881895738,1.69E-22,2.88E-20,ADH1C PLA2G6 PLA2G6 APOE ATP7B SQSTM1 SQSTM1 EIF2B4 EIF2B3 EIF2B2 EIF2B5 MMACHC CHMP2B CHMP2B CHMP2B SNCAIP DCTN1 TIMM8A EIF2B1 GBA PNPLA6 GLUD2 GRN GRN GRN HTT HLA-DQB1 LMNB1 MAPT MAPT MAPT MAPT MAPT MAPT COX1 COX2 COX3 TBK1 ND1 ND4 ND5 ND6 TRNF TRNH TRNL1 TRNQ TRNS1 TRNS2 TRNW NR4A2 TREM2 TREM2 TREM2 RNF216 TMEM106B TMEM106B PRNP PRNP PRNP PRNP PRNP PSEN1 PSEN1 PSEN1 PSEN1 PSEN1 ATXN2 ATXN8OS C9ORF72 C9ORF72 VPS13A TBP TIA1 TYROBP TYROBP VCP VCP JPH3
289,HP:0000713,Agitation,106,35,10814,106,234119,0.003236545,0.000452761,7.148459719,8.73E-21,1.39E-18,ACAT1 ANG ANXA11 APP SYNJ1 SQSTM1 BRAT1 CFAP410 CACNA1A CCNF VAPB COX10 GABBR2 GABBR2 CHMP2B GIGYF2 MATR3 DAO DNAJC6 DCTN1 DCX FIG4 PDE11A ECE1 OPTN EIF2S3 EIF4G1 EPHA4 ERBB4 ABCA7 WAC TOMM40 DEAF1 DEAF1 AFF2 AFF2 FUS GBA ADA2 PPARGC1A GLE1 HTRA2 GRN HSD17B10 HTT HTT PARK7 HNF4A HNRNPA1 NDST1 IGF1R KCNJ11 KIF11 LSS MECP2 MECP2 TBK1 NEFH NEK1 TREM2 TREM2 PAK3 PRKN PFN1 UBQLN2 PODXL PON1 PON2 PON3 PRKAR1A PRPH PSEN1 PSEN2 VPS13C PTS LRRK2 LRRK2 ATXN2 NTNG1 SLC2A3 VPS35 SNCA SNCA C9ORF72 UNC13A SOD1 SORL1 GLT8D1 SPAST NAGS CDKL5 STXBP1 SUOX ABCC8 HNF1A DNAJC13 MED13L TARDBP TSHR TSHR UCHL1 UCP2 VCP PINK1 CHCHD10 TAF15
108,HP:0011960,Substantia nigra gliosis,16,15,10814,16,234119,0.001387091,6.83E-05,20.29651956,1.41E-19,2.10E-17,ADH1C FBXO7 SNCAIP GBA GLUD2 MAPT ATXN3 ATXN3 ATXN3 NR4A2 PRKN LRRK2 ATXN2 ATXN8OS SNCA TBP
281,HP:0003394,Muscle spasm,171,42,10814,171,234119,0.003883854,0.000730398,5.317450738,3.59E-19,5.03E-17,ACADM ACADVL AMPD1 AMPD3 ANG SLC25A4 ANXA11 AR AR ATP1A1 STX16 SYNJ1 SQSTM1 CFAP410 CACNA1S CRPPA CASQ1 CASQ1 CASR CAV3 CCNF VAPB VAPB CHRNE CLCNKB COL1A1 COL4A1 COL4A1 COL5A1 COL5A2 RRM2B CPT2 CHMP2B GIGYF2 TRPM6 MATR3 DAO DNAJC6 DCTN1 DCTN1 PHGDH FIG4 WASHC5 DGUOK MFN2 DLD DMD DNA2 DNA2 DPAGT1 ABCB6 OPTN EIF4G1 EPHA4 ERBB4 TFG FKTN POMT1 GFM2 FUS GABRA3 MAP3K20 GBA GFPT1 GFPT1 GFPT1 PPARGC1A GLA GLE1 GNA11 GNAS GNAS GNAS HTRA2 HPDL ORAI1 HADHA HADHB KCNJ18 POLG2 HINT1 PARK7 HNRNPA1 ALG14 HSPB1 TRAPPC11 TRAPPC11 ALG2 KCNA1 KCNJ1 LDHA KY ATXN3 ATXN3 ATXN3 ATXN3 FLVCR1 ATP6 TBK1 MYH7 NEFH NEFH NEFL NEK1 TREM2 PRKN PFN1 PGK1 PHKA2 PHKG2 GMPPB GMPPB PSAT1 UBQLN2 FKRP FKRP FKRP PODXL POLG PON1 PON2 PON3 PRPH PRPH TRPM7 VPS13C PIGG ALDH18A1 SH3TC2 LRRK2 LRRK2 RTN2 ATXN2 ATXN2 FDX2 SCN4A SCN4A OPA3 MORC2 MORC2 SLC12A1 SLC12A3 SLC12A3 VPS35 SMN1 SMN2 SNCA SNCA C9ORF72 UNC13A SOD1 SOD1 GLT8D1 STIM1 STIM1 SVIL DNAJC13 CARMIL2 DOK7 TARDBP ISCU UCHL1 VCP VCP VCP TWNK PINK1 CHCHD10 CHCHD10 FBXO38 TAF15
589,HP:0030223,Perseveration,34,20,10814,34,234119,0.001849454,0.000145225,12.7350711,1.43E-18,1.89E-16,SQSTM1 SQSTM1 CHMP2B CHMP2B TACO1 NPC2 FUS GRN GRN GRN MAPT MAPT MAPT TBK1 NONO TREM2 TREM2 TMEM106B TMEM106B PRNP PRNP PSEN1 PSEN1 PSEN1 C9ORF72 C9ORF72 C9ORF72 TARDBP TARDBP VCP VCP VCP CHCHD10 USP7
308,HP:0002354,Memory impairment,150,38,10814,150,234119,0.003513963,0.0006407,5.484570618,5.50E-18,6.90E-16,KLRC4 MYORG ABCD1 ABCD1 APOE APOE APP APP FAS ARSA BMPR1A SQSTM1 EIF2B4 EIF2B3 EIF2B2 EIF2B5 ACSF3 C4A XPR1 CCR1 CP MMACHC CHMP2B CHMP2B CHMP2B CSF1R CYLD IL23R DNMT1 DNMT1 DNMT1 ATN1 GNE ECM1 EIF2B1 SLC25A13 UBAC2 STUB1 ABCA7 ABCA7 REEP2 FGF14 FGF14 TOMM40 FMR1 FMR1 MLH3 ERAP1 ADA2 AFG3L2 GRN GRN GRN GRIN2A MSH6 IL12A-AS1 HTT TREX1 HLA-B HLA-DQB1 HMBS IL10 IL12A KRAS EPCAM MAPT MAPT MAPT MAPT MAPT MEFV ATXN3 ATXN3 ATXN3 MLH1 MSH2 COX1 COX2 COX3 ND1 ND4 ND5 ND6 TRNF TRNH TRNL1 TRNQ TRNS1 TRNS2 TRNW MYD88 NF1 NF2 NOTCH3 PAH TREM2 TREM2 TREM2 TREM2 TREM2 PDGFB PDGFRB PIK3CA PMS1 PMS2 POLG UGT1A1 TMEM106B TMEM106B PRKAR1B PRKCG PRNP PRNP PRNP PSAP PSEN1 PSEN1 PSEN1 PSEN1 PSEN2 PSEN2 ALDH18A1 RPS20 ATXN1 SIM1 SLC2A3 FAN1 SLC20A2 C9ORF72 C9ORF72 C9ORF72 SORL1 SPAST SPG7 SPG7 STAT4 VAMP1 VAMP1 SEMA4A CAMTA1 TGFBR2 TIA1 TLR4 TYROBP TYROBP VCP VCP VCP TWNK JPH3
