,OMIM:191600,OMIM:246470,OMIM:603641,OMIM:109400,OMIM:109800,OMIM:114480,OMIM:114500,OMIM:114550,OMIM:120435,OMIM:133239,OMIM:137215,OMIM:144700,OMIM:148500,OMIM:150800,OMIM:155240,OMIM:158320,OMIM:167000,OMIM:171400,OMIM:176807,OMIM:188470,OMIM:188550,OMIM:202300,OMIM:211980,OMIM:260350,OMIM:260500,OMIM:273300,OMIM:275355,OMIM:276300,OMIM:300854,OMIM:312300,OMIM:601228,OMIM:601518,OMIM:603688,OMIM:603956,OMIM:604370,OMIM:605074,OMIM:606719,OMIM:608089,OMIM:608266,OMIM:608615,OMIM:609310,OMIM:610644,OMIM:612229,OMIM:612555,OMIM:612591,OMIM:613244,OMIM:613347,OMIM:613659,OMIM:614331,OMIM:614337,OMIM:614350,OMIM:614385,OMIM:614456,OMIM:614564,OMIM:615083
OMIM:191600,0.669137752,0.669137752,0,0.669137752,0.89218367,0,0.68629513,0,0,0,0,0.973291276,0,0.669137752,0,0.669137752,0.912460571,0.669137752,1.204447954,0,0,0,0,0,0,0.955911075,0,0.669137752,0.973291276,0.979808851,0,1.094952685,0.708498796,0,0,1.003706628,0,1.051502182,0,0,0,0,0,0,0.669137752,0,0,0,0,0.669137752,0.669137752,0,0,0,0
OMIM:246470,0.669137752,3.539210716,1.272427788,2.51747478,2.122576474,1.68348338,2.528114033,2.222973557,3.16058705,2.524553202,1.715859426,1.869394905,2.604320715,2.292071657,1.521024194,2.969947184,1.813917974,1.943266187,1.204447954,1.382749267,1.521024194,1.521024194,1.521024194,1.741587682,1.272427788,1.715306828,1.442985754,3.379778579,1.869394905,1.328189267,0.672085874,1.316487939,1.328189267,1.218443897,1.68348338,1.926501232,1.898537135,1.755583605,1.272427788,2.67506549,3.16058705,0,3.16058705,1.68348338,2.793729454,3.11688341,1.741587682,2.538964702,3.11688341,2.528114033,2.528919183,3.11688341,1.663852874,1.272427788,3.44928311
OMIM:603641,0,1.272427788,3.178375261,2.514120459,1.973879196,1.68348338,1.363511673,0.790973194,1.17001861,0.893981707,1.053833925,1.382749267,1.036309551,0.97350547,1.521024194,1.385169799,1.388103041,1.290369183,0,1.382749267,1.521024194,1.521024194,1.521024194,1.078032779,1.321752938,1.078032779,1.442985754,1.150158074,1.382749267,0.573061702,0,0.550264986,1.03035431,0.550264986,1.68348338,1.480409397,1.625308645,1.086445853,0.744445359,1.206775881,1.17001861,0,1.17001861,1.68348338,1.09065239,1.26892234,1.078032779,1.150506464,1.26892234,1.181890633,1.119343843,1.26892234,1.663852874,1.525389366,1.195269623
OMIM:109400,0.669137752,2.51747478,2.514120459,3.627422752,3.180958782,2.563946996,3.43584897,2.08160504,2.756603317,1.681231904,2.35128443,2.741681386,1.880289402,2.697652856,1.521024194,3.221151899,3.555795543,1.545630957,2.337980173,1.382749267,1.521024194,1.521024194,2.115490594,1.741587682,2.12221501,2.965726544,2.129088495,2.520706985,2.741681386,2.456851381,0.672085874,2.346971775,2.381101195,1.265462213,2.563946996,2.884854519,2.542422466,3.058681183,0.744445359,2.275258542,2.756603317,2.291907285,2.756603317,2.563946996,3.279627215,2.875455813,1.741587682,2.969587986,2.875455813,3.352418545,3.123454373,2.875455813,2.491381074,1.988391483,3.176446122
OMIM:109800,0.89218367,2.122576474,1.973879196,3.180958782,4.192327309,1.973879196,4.192327309,1.973879196,1.973879196,1.973879196,1.895357172,3.388665677,1.973879196,3.388665677,1.973879196,3.388665677,3.180958782,2.122576474,1.204447954,1.973879196,1.973879196,1.973879196,1.973879196,1.973879196,1.973879196,3.180958782,1.973879196,3.388665677,3.388665677,3.180958782,0,2.044054451,2.122576474,1.895357172,1.973879196,3.388665677,1.973879196,3.180958782,1.973879196,1.973879196,1.973879196,0,1.973879196,1.973879196,3.180958782,1.973879196,1.973879196,1.973879196,1.973879196,3.180958782,3.180958782,1.973879196,1.973879196,1.973879196,1.973879196
OMIM:114480,0,1.68348338,1.68348338,2.563946996,1.973879196,3.416784266,1.68348338,1.68348338,1.68348338,1.68348338,1.624591862,1.68348338,1.68348338,1.68348338,1.68348338,3.416784266,3.416784266,1.68348338,0,1.68348338,1.68348338,1.68348338,1.68348338,1.68348338,1.68348338,1.68348338,1.68348338,1.68348338,1.68348338,2.563946996,0,1.624591862,1.68348338,1.624591862,3.416784266,1.68348338,1.68348338,1.68348338,1.68348338,1.68348338,1.68348338,0,1.68348338,3.416784266,1.68348338,1.68348338,1.68348338,1.68348338,1.68348338,1.68348338,1.68348338,1.68348338,1.68348338,3.416784266,1.68348338
OMIM:114500,0.68629513,2.528114033,1.363511673,3.43584897,4.192327309,1.68348338,4.177995617,2.08160504,3.098207802,2.046072455,1.745637824,3.0113861,2.046072455,3.626386557,1.521024194,3.755248181,3.108437274,2.147488007,2.310686194,1.382749267,1.521024194,1.521024194,1.521024194,1.741587682,1.363511673,2.829945233,1.442985754,3.558554106,3.0113861,2.496445528,0.672085874,2.322159067,1.953397778,1.31217035,1.68348338,3.29204991,2.192415311,3.320428828,1.363511673,2.132738771,3.098207802,0,3.098207802,1.68348338,3.464557627,3.491717821,1.741587682,2.969587986,3.491717821,3.708637461,3.615139779,3.491717821,2.08523477,1.363511673,3.265480504
OMIM:114550,0,2.222973557,0.790973194,2.08160504,1.973879196,1.68348338,2.08160504,3.94237533,2.637815809,2.08160504,1.702309136,1.382749267,2.371300328,2.159260317,1.521024194,2.508626864,1.444579607,1.809410172,0,1.495702398,1.521024194,1.521024194,1.521024194,1.741587682,0.790973194,1.137198704,1.442985754,2.508626864,1.382749267,0.790973194,1.008128811,0.761527435,0.790973194,0.761527435,1.68348338,1.480409397,1.898537135,1.086445853,1.182969279,2.08160504,2.637815809,0,2.637815809,1.68348338,2.08160504,2.765153128,1.741587682,2.519565982,2.765153128,2.08160504,2.08160504,2.765153128,1.663852874,0.790973194,2.790844997
OMIM:120435,0,3.16058705,1.17001861,2.756603317,1.973879196,1.68348338,3.098207802,2.637815809,3.191776674,2.756603317,2.043023035,1.382749267,2.756603317,2.662437262,1.521024194,3.191776674,1.388103041,2.256323243,0,1.382749267,1.521024194,1.521024194,1.521024194,1.908168856,1.17001861,1.17001861,1.442985754,3.16058705,1.382749267,1.17001861,1.033978268,1.124717443,1.17001861,1.124717443,1.68348338,1.480409397,1.908168856,1.17001861,1.17001861,3.16058705,3.191776674,0,3.191776674,1.68348338,3.098207802,3.11688341,1.908168856,2.662437262,3.11688341,3.098207802,3.098207802,3.11688341,1.663852874,1.17001861,3.265480504
OMIM:133239,0,2.524553202,0.893981707,1.681231904,1.973879196,1.68348338,2.046072455,2.08160504,2.756603317,3.165503268,1.391973686,1.382749267,2.539908783,1.378585724,1.521024194,2.04602605,1.388103041,0.931500242,0,1.382749267,1.521024194,1.521024194,2.102105491,1.741587682,0.543222926,1.078032779,1.442985754,1.895813128,1.382749267,0.576664675,0.672085874,0.374905814,0.594170605,1.075593879,1.68348338,1.480409397,1.898537135,1.086445853,0.744445359,1.735307835,2.756603317,0,2.756603317,1.68348338,2.144026826,2.875455813,1.741587682,2.538964702,2.875455813,1.98515737,2.019002588,2.875455813,1.663852874,0.717183761,2.930239284
OMIM:137215,0,1.715859426,1.053833925,2.35128443,1.895357172,1.624591862,1.745637824,1.702309136,2.043023035,1.391973686,2.934820928,1.329211523,1.606965534,1.123330657,1.462132676,1.950963521,1.329211523,0.920107118,0,1.329211523,1.462132676,1.462132676,1.462132676,1.707935386,0.522190241,1.044380483,1.39250731,0.920107118,1.329211523,0.261095121,0.672085874,0.221535254,0.573385363,0.348126828,1.624591862,1.421517879,1.850038238,1.044380483,0.716731704,1.638020287,2.043023035,0,2.043023035,1.624591862,1.632346251,2.071156232,1.707935386,2.348162465,2.071156232,1.557768357,1.549749537,2.071156232,1.624591862,0.894023646,2.115184933
OMIM:144700,0.973291276,1.869394905,1.382749267,2.741681386,3.388665677,1.68348338,3.0113861,1.382749267,1.382749267,1.382749267,1.329211523,3.0113861,1.382749267,2.889588432,1.521024194,2.889588432,2.562154234,1.971919476,1.204447954,1.382749267,1.521024194,1.521024194,1.521024194,1.382749267,1.382749267,2.562154234,1.442985754,2.689610737,3.0113861,2.664678805,0,1.815857161,1.869394905,1.329211523,1.68348338,3.29204991,1.625308645,2.562154234,1.382749267,1.382749267,1.382749267,0,1.382749267,1.68348338,2.562154234,1.382749267,1.382749267,1.382749267,1.382749267,2.562154234,2.562154234,1.382749267,1.663852874,1.382749267,1.382749267
OMIM:148500,0,2.604320715,1.036309551,1.880289402,1.973879196,1.68348338,2.046072455,2.371300328,2.756603317,2.539908783,1.606965534,1.382749267,3.239585475,1.525023531,1.521024194,2.234356318,1.388103041,1.079910334,0,1.382749267,1.521024194,1.521024194,2.102105491,1.741587682,0.543222926,1.078032779,1.801259223,1.790796545,1.382749267,0.388794217,0.672085874,0.221535254,0.594170605,0.932024381,1.68348338,1.480409397,2.046061505,1.086445853,0.744445359,2.03250827,2.756603317,2.291907285,2.756603317,1.68348338,2.144026826,2.875455813,1.741587682,2.538964702,2.875455813,1.98515737,2.019002588,2.875455813,1.942510016,1.338608531,2.930239284
